Start	Move	End	Tags	Week	Date	Description	Index
Arm up	Wrong-way turn	Open hold	turn, fun	Adv	2014-08-06	Hold girl's wrist so she knows to keep her frame strong. Start a normal turn, then bounce back on 6 and turn the other way.	329
Arms up	Free turn	Hands on waist	easy, fun, turn	Adv w/ Manuel	2014-05-21		232
Boy haircombed	Boy outside turn	Hammerlock	hard, fun	Adv	2014-08-13	Boy throws girl's hand behind her back then does his outside turn	365
Boy hammerlock	Boy bow	Crosshand	fun	Week 9	2014-08-07	Girl's hips do an anticlockwise circle, boy goes under his hammerlocked arm.	341
Boy hammerlock	Boy bow	Open hold	fun	Week 3	2014-03-20	Holding hammerlock hand but dropping the other, leader bows / slides under follower's arm.	134
Boy hammerlock	Haircomb + arm sweep	Arm up	fun	old Week 9			71
Boy hammerlock	Windmill	Boy hammerlock	hard, fun	Week 9	2014-02-20	Both double-handed turn at the same time. While back-to-back, lower first hand before raising second.	99
Boy hammerlock	Windmill	Boy hammerlock	turn, fun	Altona	2014-10-27	Boy starts girl turning outside, then does his own outside turn at the same time. Be sure to lift new turning arm quickly, keeping girl's arm straight, to avoid locking -- practise this one slowly to start with.	536
Boy hammerlock crosshand	Arm sweep	Control hold	easy, basic, fun	Project 4/5	2014-10-14		497
Boy hammerlock crosshand	Both turn	Hammerlock crosshand	hard, fun	Project 2/3 technique	2014-09-16	Amazing move. Both inside inside turn, keeping hammerlocked arm low.	429
Boy hammerlock crosshand	Boy bow	Crosshand	easy, body, fun	Adv	2014-06-18		258
Boy hammerlock crosshand	Haircomb + arm sweep	Close hold	easy, basic, fun	Week 12	2014-08-28		383
Boy mates hold	Girl turn & block	Shoulder blocked	hard, body	Adv	2014-07-23	Boy contras girl and then half turns himself while girl turns. Boy reaches out for girl's shoulder to block last quarter turn.	304
Boy mates hold	Small steps	Boy mates hold	body	Adv	2014-07-23	Torso moves side to side; transfer weight between legs with a slight dipping motion; keep shoulders horizontal.	303
Boy wrap crosshand	Throw hands + hip pinball	Open hold	hard, body, turn	Adv	2014-07-09	Throw hands down for four counts (stomp on 1). Then reach behind to push girl's hips to the left on 1, right on 2, then left on 3, with boy going in the other direction to emphasise. Boy 3/4 outside turn at end.	294
Catapult	Catapult + boy double-handed turn	Catapult	fast, fun	Adv	2014-07-09	Catapult on 1, 2; boy catches hand high and turns under both hands.	290
Catapult	Catapult + boy turn	Boy hammerlock	fun	Week 9	2014-02-20		98
Cliffhanger	Drag	Close hold	fun	Project 4/5	2014-10-07	Walk backwards and pull girl with you.	473
Cliffhanger	Girl bow; push forward + pull back	Mates hold	hard, fun, body	Adv	2014-04-30	Pull girl's arm up and forward on 1, hand across waist on 2,she bows on 3 (dissipating momentum), boy mostly behind on 4. Push hip on 5, pull on 6, bodyroll 7&8. Might be easier to lead with a walk through first.	176
Close hold	Body roll down + body roll up	Close hold	fun, body	Week 9	2014-02-20	Body roll into a squat, then do it in reverse.	101
Close hold	Bodyroll + side dip	Close hold	body	Week 4	2014-01-23	Led using palm roll on girl's back. Head forward, then shoulders forward, then hips forward, then sit back and down. Side roll is sit rotated then knee flick other leg to roll back up, head last.	31
Close hold	Bodyroll + side dip	Close hold	body	Week 6	2014-04-11		154
Close hold	Dip	Close hold	fun	Altona	2014-10-27	Girl supports her own weight. Girl's right arm around boy's waist, left around shoulder. Boy's left on girl's shoulder, right supporting torso centre-of-mass. Boy must NOT bend forward; squat vertically only.	540
Close hold	Dip	Close hold	fun, body	Project 2/3	2014-09-09		405
Close hold	Dip	Close hold	fun, body	Week 4	2014-06-26		272
Close hold	Dip	Close hold	fun, body	Week No Mark		Boy squats down without bending forward; girl leans back on her toes, knees up and hips forward, head drops last	28
Close hold	Girl body circles	Close hold	body	Adv	2014-07-09	Two counts per circle; hips stay mostly still. Boy leads with frame (boy's shoulders).	285
Close hold	Girl slow body circle + bodyroll	Close hold	body	Adv	2014-07-09	Half circle on 1,2; boy hips back and gently pull shoulders.	286
Close hold	Girl style	Close hold	hard, body	Adv	2014-09-24	Let the girl do styling: body rolls, hip rolls etc. Don't stare. Can be led by placing her hand on your chest.	455
Close hold	Half spin + drag	Close hold	fun, body	TSF Level 2	2014-10-01	Prepare as for a full spin; half spin on first two beats while moving hand to lower back, then step back while pulling girl forward instead of completing spin. Girl's left leg stays next to boy's right; upper body lags behind to accentuate drag.	462
Close hold	Half spin + drag	Close hold	fun, body	Week 6	2014-04-11	On third count, pull girl forward by her lower back using your palm/wrist (fingers are unpleasant?)	153
Close hold	Head roll	Close hold	easy, body	Week 1	2014-03-06		119
Close hold	Hip roll	Close hold	body	Week 4	2014-01-23		41
Close hold	Horizontal sway	Close hold	body	Week 8	2014-04-24	Move girl's shoulderblades left and right.	166
Close hold	Knee roll	Close hold	hard, body	Adv	2014-08-13	Boy's knee/thigh applies pressure, rotates from 6 o'clock through 9 to 12 o'clock on 1,2, then does two full circles anticlockwise on 3,4. Girl will do booty rolls as a result.	368
Close hold	Shoulder roll + body roll	Close hold	body	Week 4	2014-01-23		32
Close hold	Slide	Close hold	basic, fun, body	Project 2/3	2014-09-09	Slide to the side and upwards, drop on fourth beat. Drop by relaxing knees for a second.	395
Close hold	Slow dip	Close hold	fun, body	Adv	2014-09-17	Boy places girl's right arm behind his back (under his arm) then puts left arm on her shoulder. Other arm supporting her in middle of back. Step past girl and squat without leaning forward, be very solid. Lowest point of dip on fourth beat.	451
Close hold	Step back + throw hand	Side-by-side	body	Week 13	2014-05-28		248
Close hold	Stop and roll	Close hold	fun, body	Week 13	2014-05-28	Basic on 1 but stop on 2 (no movement). Bodyroll on 3,4.	247
Close hold	Swaying squat	Close hold	easy, basic, body	Adv	2014-08-27	Prepare on previous count by lifting girl's frame. Squat (leading with frame) on 1 then sway back upwards for three counts, x2.	372
Close hold	Swaying squat	Close hold	easy, basic, body	Adv	2014-09-10	Prepare on previous count by lifting girl's frame, then drop and sway on the way back up. Don't make bachata face, be happy.	409
Close hold	Walk back body rolls	Close hold	hard, body, fun	Adv	2014-08-27	Hand in middle of back to pull girl with you. Roll x4 for total 8 counts. Boy rolls as well, torsos don't touch.	373
Close hold offset	Side lunge	Close hold	easy, fun, body	Week 8	2014-04-24	Holding girl very firmly against your side, perform a side lunge for 8 counts. Girl slowly drags outside foot to knee, keeping legs closed as always. Boy's torso must remain vertical; girl must use core strength to stay straight. Girl also pushes against boy's left hand for support if needed, boy must keep this tensed.	172
Close hold offset	Side lunge	Close hold offset	fun, body	TSF Level 2	2014-10-01		465
Close hold offset	Tango	Close hold	hard, fun	Week 8	2014-04-24	Step back while turning with girl, then on third step put new inside foot behind girl, hold on 4 for her to kick between boy's legs.	170
Close hold offset	Tango	Close hold offset	hard, travel, fun	TSF Level 2	2014-10-01		464
Close hold opened	Bodyroll	Close hold	body	Altona	2014-10-20	Boy stands rigid, supporting girl under shoulderblade/arm and with other hand.	516
Close hold opened	Girl bodyroll twice	Close hold opened	body	Week 12	2014-02-27		108
Close hold opened	Girl flare half turn	Wrap	fun, hard	Week 12	2014-02-27	Girl step forward, half turn flare leg, quarter turn	110
Close hold opened	Girl step forward, half turn, head roll	Close hold	fun, hard	Week 12	2014-02-27		109
Close hold opened	Slow spin	Close hold	fun	Project 2/3 technique	2014-09-16	Full 360, total 8 counts.	422
Control hold	Twists and turn	Wrap	hard, fun	Adv	2014-04-16	Boy very strong, pushes girl using his frame. Girl twists on rightfoot for 2, then leftfoot for 2, then right one (contra) and turn into strong cuddle.	162
Crosshand	Arm circles + hip turn + bodyroll	Close hold	easy, fun, body	Week 11	2014-05-15		230
